Date,Total Accidents,Fatal Accidents,Injuries,Weather Condition,Road Condition
2012-01-01,42,15,25,Rain,Snow-covered
2012-01-02,33,0,12,Snow,Dry
2012-01-03,11,0,0,Cloudy,Wet
2012-01-04,22,2,0,Cloudy,Icy
2012-01-05,36,17,26,Snow,Snow-covered
2012-01-06,19,9,7,Clear,Muddy
2012-01-07,33,12,33,Cloudy,Snow-covered
2012-01-08,20,2,3,Snow,Muddy
2012-01-09,29,5,20,Clear,Icy
2012-01-10,28,8,26,Snow,Muddy
2012-01-11,1,0,1,Snow,Dry
2012-01-12,8,0,5,Rain,Snow-covered
2012-01-13,22,2,13,Fog,Muddy
2012-01-14,17,5,1,Fog,Wet
2012-01-15,9,1,4,Snow,Icy
2012-01-16,45,9,33,Fog,Snow-covered
2012-01-17,43,16,13,Fog,Snow-covered
2012-01-18,11,0,2,Fog,Muddy
2012-01-19,46,1,32,Clear,Icy
2012-01-20,43,4,0,Fog,Muddy
2012-01-21,41,12,17,Fog,Wet
2012-01-22,15,1,6,Snow,Wet
2012-01-23,26,8,18,Clear,Wet
2012-01-24,14,7,5,Snow,Icy
2012-01-25,40,16,18,Clear,Muddy
2012-01-26,2,1,1,Fog,Muddy
2012-01-27,46,11,12,Rain,Snow-covered
2012-01-28,43,1,3,Clear,Icy
2012-01-29,42,4,28,Cloudy,Muddy
2012-01-30,47,7,32,Cloudy,Wet
2012-01-31,6,0,3,Rain,Dry
2012-02-01,23,0,6,Rain,Snow-covered
2012-02-02,12,1,0,Fog,Icy
2012-02-03,7,2,3,Fog,Icy
2012-02-04,18,0,8,Snow,Snow-covered
2012-02-05,38,0,25,Clear,Dry
2012-02-06,13,2,5,Cloudy,Muddy
2012-02-07,4,0,3,Cloudy,Wet
2012-02-08,2,0,1,Cloudy,Snow-covered
2012-02-09,8,0,3,Clear,Snow-covered
2012-02-10,15,4,8,Snow,Dry
2012-02-11,48,7,2,Cloudy,Wet
2012-02-12,8,4,7,Snow,Muddy
2012-02-13,46,17,16,Rain,Muddy
2012-02-14,50,16,13,Cloudy,Dry
2012-02-15,4,1,4,Snow,Muddy
2012-02-16,40,9,27,Snow,Snow-covered
2012-02-17,22,9,5,Clear,Dry
2012-02-18,20,8,16,Fog,Muddy
2012-02-19,23,1,0,Snow,Icy
2012-02-20,15,2,12,Fog,Snow-covered
2012-02-21,12,3,10,Snow,Wet
2012-02-22,3,0,1,Snow,Snow-covered
2012-02-23,20,6,17,Clear,Dry
2012-02-24,39,10,15,Fog,Dry
2012-02-25,7,3,6,Cloudy,Icy
2012-02-26,10,4,0,Fog,Dry
2012-02-27,19,3,10,Rain,Muddy
2012-02-28,32,11,14,Clear,Snow-covered
2012-02-29,25,6,15,Rain,Snow-covered
2012-03-01,50,10,49,Cloudy,Icy
2012-03-02,36,6,28,Cloudy,Wet
2012-03-03,14,1,6,Clear,Icy
2012-03-04,14,6,4,Cloudy,Dry
2012-03-05,34,3,27,Clear,Dry
2012-03-06,13,0,3,Fog,Wet
2012-03-07,4,2,3,Rain,Muddy
2012-03-08,11,1,2,Fog,Dry
2012-03-09,20,4,2,Snow,Muddy
2012-03-10,30,15,5,Cloudy,Icy
2012-03-11,10,3,5,Rain,Muddy
2012-03-12,19,6,17,Clear,Wet
2012-03-13,2,1,2,Rain,Dry
2012-03-14,16,6,4,Snow,Icy
2012-03-15,41,4,25,Clear,Dry
2012-03-16,7,1,3,Clear,Dry
2012-03-17,6,0,5,Clear,Wet
2012-03-18,11,2,10,Rain,Muddy
2012-03-19,44,18,29,Clear,Wet
2012-03-20,46,6,21,Cloudy,Snow-covered
2012-03-21,17,3,15,Snow,Muddy
2012-03-22,2,0,1,Snow,Muddy
2012-03-23,27,9,5,Clear,Icy
2012-03-24,6,3,0,Cloudy,Wet
2012-03-25,20,1,15,Clear,Icy
2012-03-26,38,0,25,Snow,Wet
2012-03-27,41,0,27,Rain,Icy
2012-03-28,48,5,29,Rain,Icy
2012-03-29,24,0,9,Clear,Dry
2012-03-30,35,15,10,Fog,Muddy
2012-03-31,49,21,43,Fog,Dry
2012-04-01,42,14,7,Cloudy,Wet
2012-04-02,40,19,32,Clear,Icy
2012-04-03,49,2,39,Rain,Icy
2012-04-04,40,16,35,Cloudy,Wet
2012-04-05,13,6,9,Cloudy,Muddy
2012-04-06,34,16,34,Fog,Snow-covered
2012-04-07,13,3,1,Fog,Icy
2012-04-08,37,14,0,Rain,Dry
2012-04-09,18,8,1,Rain,Muddy
2012-04-10,17,6,4,Clear,Muddy
2012-04-11,23,9,4,Snow,Snow-covered
2012-04-12,46,0,35,Clear,Wet
2012-04-13,39,13,28,Clear,Muddy
2012-04-14,21,6,10,Snow,Snow-covered
2012-04-15,24,4,15,Clear,Muddy
2012-04-16,29,12,16,Fog,Wet
2012-04-17,34,6,19,Fog,Wet
2012-04-18,30,14,3,Clear,Icy
2012-04-19,48,4,35,Cloudy,Wet
2012-04-20,12,5,2,Cloudy,Icy
2012-04-21,43,4,42,Rain,Dry
2012-04-22,24,8,8,Rain,Icy
2012-04-23,34,17,17,Snow,Wet
2012-04-24,48,23,9,Fog,Snow-covered
2012-04-25,34,9,0,Rain,Muddy
2012-04-26,11,5,11,Clear,Icy
2012-04-27,38,13,2,Clear,Wet
2012-04-28,45,19,39,Rain,Dry
2012-04-29,7,0,0,Rain,Wet
2012-04-30,7,3,6,Fog,Muddy
2012-05-01,2,0,2,Clear,Muddy
2012-05-02,27,9,3,Snow,Muddy
2012-05-03,44,18,27,Fog,Muddy
2012-05-04,48,12,23,Cloudy,Wet
2012-05-05,38,18,3,Snow,Wet
2012-05-06,16,0,16,Snow,Dry
2012-05-07,14,6,11,Cloudy,Dry
2012-05-08,45,13,29,Cloudy,Snow-covered
2012-05-09,40,8,32,Fog,Icy
2012-05-10,11,1,10,Rain,Snow-covered
2012-05-11,1,0,1,Cloudy,Wet
2012-05-12,6,3,6,Fog,Snow-covered
2012-05-13,16,1,6,Cloudy,Wet
2012-05-14,12,1,8,Fog,Wet
2012-05-15,41,10,1,Cloudy,Wet
2012-05-16,24,2,3,Fog,Muddy
2012-05-17,24,3,18,Fog,Snow-covered
2012-05-18,11,2,1,Snow,Muddy
2012-05-19,7,3,2,Fog,Dry
2012-05-20,38,14,22,Clear,Wet
2012-05-21,36,9,35,Cloudy,Icy
2012-05-22,7,1,7,Snow,Snow-covered
2012-05-23,14,5,0,Rain,Muddy
2012-05-24,49,21,31,Snow,Muddy
2012-05-25,38,10,35,Clear,Wet
2012-05-26,47,1,33,Clear,Snow-covered
2012-05-27,32,7,22,Clear,Muddy
2012-05-28,10,4,4,Rain,Muddy
2012-05-29,2,1,2,Fog,Snow-covered
2012-05-30,29,3,16,Clear,Dry
2012-05-31,47,7,39,Cloudy,Icy
2012-06-01,23,1,18,Fog,Icy
2012-06-02,47,0,29,Cloudy,Muddy
2012-06-03,36,6,2,Clear,Wet
2012-06-04,48,18,46,Clear,Wet
2012-06-05,37,4,29,Rain,Icy
2012-06-06,18,9,11,Fog,Snow-covered
2012-06-07,23,10,10,Cloudy,Wet
2012-06-08,39,4,14,Snow,Dry
2012-06-09,21,2,14,Clear,Muddy
2012-06-10,37,16,31,Fog,Wet
2012-06-11,24,9,13,Clear,Muddy
2012-06-12,3,0,2,Rain,Dry
2012-06-13,15,7,12,Fog,Muddy
2012-06-14,31,15,22,Clear,Icy
2012-06-15,46,0,41,Clear,Muddy
2012-06-16,38,19,23,Snow,Snow-covered
2012-06-17,37,1,0,Rain,Icy
2012-06-18,32,1,31,Clear,Wet
2012-06-19,37,4,0,Fog,Muddy
2012-06-20,48,6,39,Cloudy,Snow-covered
2012-06-21,43,1,34,Clear,Dry
2012-06-22,12,3,10,Snow,Wet
2012-06-23,33,1,28,Fog,Icy
2012-06-24,13,6,3,Snow,Dry
2012-06-25,8,0,1,Snow,Wet
2012-06-26,29,3,10,Snow,Wet
2012-06-27,23,5,17,Snow,Snow-covered
2012-06-28,9,4,4,Fog,Muddy
2012-06-29,29,10,27,Cloudy,Dry
2012-06-30,15,6,6,Fog,Snow-covered
2012-07-01,18,2,7,Cloudy,Dry
2012-07-02,31,6,15,Snow,Icy
2012-07-03,19,7,10,Fog,Dry
2012-07-04,27,3,16,Fog,Icy
2012-07-05,32,3,27,Snow,Icy
2012-07-06,47,12,23,Rain,Dry
2012-07-07,25,5,12,Cloudy,Snow-covered
2012-07-08,45,5,23,Rain,Muddy
2012-07-09,15,1,15,Rain,Wet
2012-07-10,9,0,3,Fog,Snow-covered
2012-07-11,33,9,9,Cloudy,Snow-covered
2012-07-12,7,2,2,Fog,Muddy
2012-07-13,25,0,23,Clear,Icy
2012-07-14,22,8,4,Cloudy,Dry
2012-07-15,27,11,7,Clear,Dry
2012-07-16,40,19,8,Rain,Dry
2012-07-17,17,4,13,Clear,Icy
2012-07-18,30,10,29,Snow,Wet
2012-07-19,18,7,3,Fog,Muddy
2012-07-20,18,2,11,Clear,Wet
2012-07-21,17,4,13,Cloudy,Wet
2012-07-22,13,3,11,Fog,Muddy
2012-07-23,28,5,2,Fog,Wet
2012-07-24,43,8,40,Clear,Icy
2012-07-25,31,5,20,Cloudy,Muddy
2012-07-26,1,0,1,Snow,Dry
2012-07-27,24,1,14,Rain,Muddy
2012-07-28,44,8,29,Snow,Dry
2012-07-29,42,6,5,Clear,Icy
2012-07-30,1,0,0,Cloudy,Icy
2012-07-31,36,13,29,Fog,Icy
2012-08-01,38,16,10,Fog,Dry
2012-08-02,46,16,46,Clear,Dry
2012-08-03,7,0,0,Clear,Dry
2012-08-04,50,4,23,Fog,Snow-covered
2012-08-05,9,0,8,Cloudy,Icy
2012-08-06,27,7,20,Rain,Snow-covered
2012-08-07,43,19,6,Cloudy,Icy
2012-08-08,24,2,18,Snow,Muddy
2012-08-09,19,8,3,Clear,Dry
2012-08-10,9,4,5,Rain,Dry
2012-08-11,43,19,42,Rain,Wet
2012-08-12,3,1,3,Rain,Snow-covered
2012-08-13,22,1,22,Clear,Dry
2012-08-14,35,13,21,Cloudy,Icy
2012-08-15,22,11,1,Cloudy,Wet
2012-08-16,50,13,50,Clear,Dry
2012-08-17,49,20,2,Cloudy,Wet
2012-08-18,39,17,5,Snow,Snow-covered
2012-08-19,42,10,21,Rain,Muddy
2012-08-20,25,9,22,Rain,Icy
2012-08-21,49,14,44,Cloudy,Wet
2012-08-22,49,15,38,Clear,Dry
2012-08-23,48,19,46,Snow,Dry
2012-08-24,32,6,32,Rain,Dry
2012-08-25,50,9,28,Fog,Dry
2012-08-26,42,20,12,Clear,Dry
2012-08-27,47,9,2,Snow,Icy
2012-08-28,16,0,4,Snow,Dry
2012-08-29,8,0,6,Snow,Dry
2012-08-30,40,0,31,Rain,Muddy
2012-08-31,6,3,2,Fog,Dry
2012-09-01,29,13,16,Cloudy,Dry
2012-09-02,11,4,5,Cloudy,Muddy
2012-09-03,45,10,15,Snow,Muddy
2012-09-04,14,6,13,Rain,Wet
2012-09-05,37,14,13,Clear,Dry
2012-09-06,28,7,9,Snow,Muddy
2012-09-07,12,0,10,Snow,Wet
2012-09-08,20,9,14,Fog,Wet
2012-09-09,47,13,17,Rain,Wet
2012-09-10,29,3,22,Fog,Snow-covered
2012-09-11,2,1,2,Fog,Icy
2012-09-12,35,16,11,Snow,Dry
2012-09-13,48,22,24,Clear,Icy
2012-09-14,6,3,3,Clear,Icy
2012-09-15,9,3,3,Cloudy,Snow-covered
2012-09-16,33,10,25,Fog,Dry
2012-09-17,35,17,13,Clear,Wet
2012-09-18,31,5,2,Fog,Muddy
2012-09-19,32,1,8,Fog,Wet
2012-09-20,31,14,0,Snow,Muddy
2012-09-21,26,1,26,Clear,Muddy
2012-09-22,50,20,46,Cloudy,Wet
2012-09-23,22,2,9,Rain,Muddy
2012-09-24,15,4,14,Snow,Icy
2012-09-25,32,3,6,Fog,Muddy
2012-09-26,35,10,16,Snow,Snow-covered
2012-09-27,7,0,5,Cloudy,Wet
2012-09-28,10,0,0,Cloudy,Icy
2012-09-29,49,12,1,Clear,Snow-covered
2012-09-30,48,8,7,Snow,Dry
2012-10-01,46,12,23,Snow,Icy
2012-10-02,18,1,3,Rain,Dry
2012-10-03,38,10,21,Snow,Icy
2012-10-04,50,24,4,Cloudy,Icy
2012-10-05,23,2,4,Cloudy,Icy
2012-10-06,18,1,11,Clear,Snow-covered
2012-10-07,22,3,11,Fog,Snow-covered
2012-10-08,7,1,1,Rain,Icy
2012-10-09,50,13,0,Snow,Dry
2012-10-10,22,0,14,Rain,Icy
2012-10-11,15,2,15,Cloudy,Dry
2012-10-12,24,5,5,Fog,Wet
2012-10-13,7,3,4,Cloudy,Snow-covered
2012-10-14,9,1,2,Clear,Dry
2012-10-15,33,10,25,Cloudy,Icy
2012-10-16,41,10,1,Rain,Wet
2012-10-17,42,14,11,Clear,Dry
2012-10-18,34,2,17,Fog,Dry
2012-10-19,5,1,0,Cloudy,Dry
2012-10-20,3,1,2,Clear,Dry
2012-10-21,32,4,12,Fog,Muddy
2012-10-22,11,3,9,Rain,Wet
2012-10-23,8,3,6,Cloudy,Wet
2012-10-24,1,0,1,Clear,Icy
2012-10-25,28,1,20,Rain,Dry
2012-10-26,25,8,0,Cloudy,Muddy
2012-10-27,28,2,21,Fog,Snow-covered
2012-10-28,28,8,25,Cloudy,Dry
2012-10-29,39,19,32,Cloudy,Icy
2012-10-30,10,0,4,Cloudy,Snow-covered
2012-10-31,45,8,11,Cloudy,Dry
2012-11-01,19,2,19,Snow,Icy
2012-11-02,5,0,5,Fog,Dry
2012-11-03,39,3,22,Cloudy,Snow-covered
2012-11-04,19,0,14,Clear,Icy
2012-11-05,12,4,6,Snow,Muddy
2012-11-06,14,7,0,Fog,Icy
2012-11-07,18,8,12,Snow,Muddy
2012-11-08,26,10,15,Rain,Wet
2012-11-09,24,3,9,Rain,Wet
2012-11-10,9,1,5,Fog,Muddy
2012-11-11,46,22,36,Snow,Muddy
2012-11-12,16,8,5,Rain,Icy
2012-11-13,47,9,30,Cloudy,Snow-covered
2012-11-14,27,0,11,Rain,Wet
2012-11-15,34,1,11,Fog,Snow-covered
2012-11-16,7,1,6,Fog,Icy
2012-11-17,28,13,14,Fog,Icy
2012-11-18,23,11,14,Fog,Snow-covered
2012-11-19,18,9,0,Fog,Wet
2012-11-20,14,5,8,Rain,Dry
2012-11-21,17,1,3,Fog,Dry
2012-11-22,17,0,15,Clear,Wet
2012-11-23,15,0,10,Snow,Snow-covered
2012-11-24,39,1,10,Cloudy,Snow-covered
2012-11-25,26,5,22,Cloudy,Snow-covered
2012-11-26,9,2,0,Rain,Muddy
2012-11-27,45,18,14,Snow,Snow-covered
2012-11-28,19,2,14,Snow,Dry
2012-11-29,33,8,11,Cloudy,Icy
2012-11-30,1,0,1,Rain,Snow-covered
2012-12-01,10,5,7,Cloudy,Icy
2012-12-02,23,7,14,Clear,Icy
2012-12-03,22,6,4,Fog,Wet
2012-12-04,46,15,46,Rain,Muddy
2012-12-05,7,2,6,Fog,Snow-covered
2012-12-06,28,13,4,Cloudy,Wet
2012-12-07,32,8,4,Snow,Wet
2012-12-08,37,0,10,Cloudy,Snow-covered
2012-12-09,34,11,33,Clear,Wet
2012-12-10,9,1,2,Fog,Icy
2012-12-11,19,9,8,Snow,Muddy
2012-12-12,38,3,22,Snow,Muddy
2012-12-13,39,14,28,Rain,Snow-covered
2012-12-14,16,2,1,Rain,Snow-covered
2012-12-15,44,8,21,Rain,Muddy
2012-12-16,44,15,0,Clear,Wet
2012-12-17,33,1,2,Clear,Snow-covered
2012-12-18,19,4,16,Cloudy,Dry
2012-12-19,1,0,1,Clear,Muddy
2012-12-20,24,11,12,Clear,Icy
2012-12-21,46,9,26,Rain,Icy
2012-12-22,42,17,5,Rain,Dry
2012-12-23,48,16,46,Snow,Snow-covered
2012-12-24,29,4,8,Cloudy,Wet
2012-12-25,24,8,10,Cloudy,Icy
2012-12-26,50,21,20,Clear,Muddy
2012-12-27,45,10,12,Fog,Wet
2012-12-28,42,2,39,Rain,Muddy
2012-12-29,50,0,30,Snow,Icy
2012-12-30,22,11,3,Clear,Snow-covered
2012-12-31,38,15,15,Fog,Dry
2013-01-01,33,9,2,Cloudy,Snow-covered
2013-01-02,29,8,15,Cloudy,Snow-covered
2013-01-03,26,5,3,Clear,Muddy
2013-01-04,42,2,40,Clear,Muddy
2013-01-05,34,8,19,Cloudy,Wet
2013-01-06,46,5,30,Fog,Icy
2013-01-07,1,0,1,Cloudy,Muddy
2013-01-08,17,7,2,Cloudy,Dry
2013-01-09,48,3,22,Clear,Muddy
2013-01-10,1,0,0,Rain,Wet
2013-01-11,29,10,8,Cloudy,Snow-covered
2013-01-12,28,4,11,Clear,Icy
2013-01-13,35,9,12,Cloudy,Wet
2013-01-14,48,6,2,Cloudy,Icy
2013-01-15,2,1,0,Cloudy,Snow-covered
2013-01-16,27,4,12,Cloudy,Wet
2013-01-17,21,3,11,Cloudy,Dry
2013-01-18,6,1,5,Clear,Wet
2013-01-19,39,8,2,Clear,Snow-covered
2013-01-20,32,11,27,Rain,Dry
2013-01-21,38,3,9,Fog,Snow-covered
2013-01-22,4,2,0,Rain,Icy
2013-01-23,16,5,9,Clear,Wet
2013-01-24,26,7,23,Fog,Muddy
2013-01-25,30,3,21,Snow,Dry
2013-01-26,17,8,4,Clear,Snow-covered
2013-01-27,45,17,33,Fog,Dry
2013-01-28,22,4,19,Snow,Dry
2013-01-29,17,8,2,Fog,Icy
2013-01-30,26,5,0,Clear,Snow-covered
2013-01-31,16,1,9,Clear,Icy
2013-02-01,6,0,3,Cloudy,Snow-covered
2013-02-02,36,14,8,Cloudy,Snow-covered
2013-02-03,4,2,1,Snow,Snow-covered
2013-02-04,2,1,0,Rain,Icy
2013-02-05,12,1,6,Clear,Muddy
2013-02-06,20,10,17,Snow,Muddy
2013-02-07,34,11,1,Snow,Muddy
2013-02-08,32,14,1,Clear,Wet
2013-02-09,41,18,41,Clear,Wet
2013-02-10,36,10,9,Fog,Dry
2013-02-11,10,1,2,Clear,Dry
2013-02-12,38,12,27,Snow,Wet
2013-02-13,24,9,2,Cloudy,Wet
2013-02-14,12,0,11,Cloudy,Muddy
2013-02-15,14,1,13,Clear,Muddy
2013-02-16,11,1,10,Snow,Snow-covered
2013-02-17,19,6,5,Rain,Dry
2013-02-18,49,14,18,Fog,Muddy
2013-02-19,22,3,3,Snow,Dry
2013-02-20,11,4,6,Rain,Wet
2013-02-21,3,0,3,Cloudy,Dry
2013-02-22,32,7,5,Snow,Icy
2013-02-23,19,8,1,Rain,Wet
2013-02-24,46,22,36,Fog,Snow-covered
2013-02-25,8,1,5,Fog,Dry
2013-02-26,19,8,12,Clear,Muddy
2013-02-27,11,5,5,Rain,Icy
2013-02-28,39,5,10,Rain,Wet
2013-03-01,20,7,7,Clear,Icy
2013-03-02,44,22,14,Fog,Icy
2013-03-03,9,2,6,Fog,Dry
2013-03-04,26,5,11,Clear,Snow-covered
2013-03-05,49,6,18,Clear,Icy
2013-03-06,36,8,1,Clear,Icy
2013-03-07,10,0,0,Rain,Muddy
2013-03-08,29,3,0,Clear,Muddy
2013-03-09,35,11,35,Clear,Wet
2013-03-10,49,5,1,Snow,Muddy
2013-03-11,32,6,9,Fog,Snow-covered
2013-03-12,33,13,30,Fog,Icy
2013-03-13,7,3,6,Clear,Dry
2013-03-14,2,1,1,Snow,Icy
2013-03-15,21,7,9,Cloudy,Wet
2013-03-16,30,3,27,Cloudy,Dry
2013-03-17,22,1,17,Snow,Muddy
2013-03-18,27,9,3,Clear,Wet
2013-03-19,37,15,9,Fog,Muddy
2013-03-20,30,9,30,Cloudy,Snow-covered
2013-03-21,40,6,13,Rain,Muddy
2013-03-22,1,0,1,Snow,Dry
2013-03-23,31,10,30,Cloudy,Muddy
2013-03-24,8,2,2,Rain,Dry
2013-03-25,6,0,1,Clear,Snow-covered
2013-03-26,30,4,14,Cloudy,Icy
2013-03-27,1,0,1,Clear,Icy
2013-03-28,18,9,15,Snow,Snow-covered
2013-03-29,22,11,18,Clear,Dry
2013-03-30,35,0,19,Snow,Muddy
2013-03-31,9,2,8,Fog,Muddy
2013-04-01,16,2,7,Snow,Icy
2013-04-02,38,5,34,Rain,Dry
2013-04-03,35,0,1,Snow,Snow-covered
2013-04-04,4,1,0,Rain,Icy
2013-04-05,46,19,0,Cloudy,Snow-covered
2013-04-06,5,2,2,Snow,Snow-covered
2013-04-07,42,10,14,Clear,Icy
2013-04-08,29,10,2,Rain,Icy
2013-04-09,30,4,7,Fog,Wet
2013-04-10,9,2,7,Snow,Wet
2013-04-11,9,1,2,Snow,Dry
2013-04-12,24,6,18,Cloudy,Snow-covered
2013-04-13,44,8,19,Snow,Dry
2013-04-14,38,14,29,Cloudy,Dry
2013-04-15,32,12,21,Fog,Icy
2013-04-16,9,1,1,Rain,Dry
2013-04-17,22,7,21,Snow,Wet
2013-04-18,2,0,0,Rain,Dry
2013-04-19,43,4,23,Fog,Dry
2013-04-20,29,0,10,Fog,Muddy
2013-04-21,28,3,26,Clear,Dry
2013-04-22,6,1,0,Snow,Snow-covered
2013-04-23,48,13,12,Clear,Wet
2013-04-24,48,12,45,Snow,Icy
2013-04-25,41,11,20,Clear,Wet
2013-04-26,21,0,12,Snow,Muddy
2013-04-27,21,6,2,Cloudy,Dry
2013-04-28,25,5,11,Fog,Dry
2013-04-29,18,6,13,Cloudy,Icy
2013-04-30,34,8,20,Rain,Dry
2013-05-01,5,2,4,Fog,Dry
2013-05-02,30,6,19,Rain,Wet
2013-05-03,47,15,33,Snow,Wet
2013-05-04,34,0,29,Snow,Icy
2013-05-05,27,11,8,Fog,Muddy
2013-05-06,46,9,5,Fog,Dry
2013-05-07,27,0,12,Snow,Wet
2013-05-08,40,16,15,Fog,Icy
2013-05-09,31,7,29,Snow,Snow-covered
2013-05-10,21,0,14,Fog,Icy
2013-05-11,4,0,2,Fog,Snow-covered
2013-05-12,25,8,22,Rain,Muddy
2013-05-13,1,0,1,Rain,Wet
2013-05-14,1,0,1,Cloudy,Icy
