Date,Total Accidents,Fatal Accidents,Injuries,Weather Condition,Road Condition
2013-05-15,27,12,18,Rain,Dry
2013-05-16,44,17,17,Clear,Muddy
2013-05-17,6,2,6,Cloudy,Wet
2013-05-18,45,1,39,Snow,Snow-covered
2013-05-19,26,1,18,Rain,Muddy
2013-05-20,33,3,29,Cloudy,Muddy
2013-05-21,17,6,8,Snow,Muddy
2013-05-22,41,18,14,Rain,Wet
2013-05-23,19,5,12,Clear,Dry
2013-05-24,4,2,3,Cloudy,Snow-covered
2013-05-25,38,5,20,Fog,Muddy
2013-05-26,38,1,3,Snow,Icy
2013-05-27,1,0,1,Cloudy,Muddy
2013-05-28,16,7,9,Cloudy,Muddy
2013-05-29,45,10,25,Cloudy,Muddy
2013-05-30,50,23,34,Cloudy,Dry
2013-05-31,10,1,10,Rain,Muddy
2013-06-01,34,9,6,Clear,Wet
2013-06-02,3,1,3,Clear,Dry
2013-06-03,35,12,8,Fog,Icy
2013-06-04,28,11,1,Rain,Wet
2013-06-05,16,1,4,Snow,Icy
2013-06-06,21,1,19,Rain,Snow-covered
2013-06-07,44,10,6,Fog,Dry
2013-06-08,30,2,6,Clear,Icy
2013-06-09,29,4,5,Rain,Icy
2013-06-10,3,0,0,Fog,Icy
2013-06-11,3,0,3,Snow,Snow-covered
2013-06-12,46,17,25,Rain,Dry
2013-06-13,21,2,11,Cloudy,Snow-covered
2013-06-14,46,11,34,Rain,Dry
2013-06-15,24,9,11,Fog,Icy
2013-06-16,13,0,11,Rain,Wet
2013-06-17,5,0,5,Cloudy,Snow-covered
2013-06-18,29,5,24,Cloudy,Dry
2013-06-19,5,0,2,Rain,Snow-covered
2013-06-20,17,4,6,Fog,Muddy
2013-06-21,46,6,39,Rain,Muddy
2013-06-22,11,4,5,Rain,Wet
2013-06-23,29,12,4,Rain,Muddy
2013-06-24,49,17,34,Cloudy,Wet
2013-06-25,36,4,17,Rain,Snow-covered
2013-06-26,6,0,1,Rain,Dry
2013-06-27,13,2,3,Fog,Muddy
2013-06-28,23,11,23,Clear,Dry
2013-06-29,14,6,5,Cloudy,Dry
2013-06-30,32,13,14,Snow,Muddy
2013-07-01,34,13,1,Fog,Icy
2013-07-02,39,19,29,Clear,Icy
2013-07-03,48,0,10,Fog,Snow-covered
2013-07-04,5,0,4,Snow,Icy
2013-07-05,45,4,9,Rain,Dry
2013-07-06,21,4,20,Snow,Snow-covered
2013-07-07,16,7,10,Fog,Icy
2013-07-08,5,1,0,Fog,Wet
2013-07-09,2,0,0,Cloudy,Snow-covered
2013-07-10,25,0,12,Snow,Muddy
2013-07-11,31,2,19,Snow,Dry
2013-07-12,30,3,13,Cloudy,Snow-covered
2013-07-13,20,4,15,Cloudy,Dry
2013-07-14,42,12,33,Fog,Wet
2013-07-15,11,5,6,Rain,Wet
2013-07-16,45,21,11,Rain,Dry
2013-07-17,43,8,16,Fog,Dry
2013-07-18,12,2,3,Rain,Muddy
2013-07-19,2,0,0,Rain,Dry
2013-07-20,38,11,34,Clear,Icy
2013-07-21,50,24,49,Cloudy,Snow-covered
2013-07-22,1,0,0,Rain,Snow-covered
2013-07-23,28,7,7,Cloudy,Wet
2013-07-24,11,4,9,Cloudy,Muddy
2013-07-25,25,3,11,Cloudy,Snow-covered
2013-07-26,37,10,20,Rain,Snow-covered
2013-07-27,47,16,41,Clear,Wet
2013-07-28,12,3,3,Snow,Dry
2013-07-29,38,11,35,Fog,Snow-covered
2013-07-30,28,11,14,Fog,Dry
2013-07-31,31,11,4,Fog,Icy
2013-08-01,9,3,7,Snow,Snow-covered
2013-08-02,16,7,9,Fog,Icy
2013-08-03,18,7,8,Clear,Muddy
2013-08-04,5,2,4,Clear,Wet
2013-08-05,36,15,20,Fog,Snow-covered
2013-08-06,37,6,11,Fog,Wet
2013-08-07,36,16,22,Fog,Icy
2013-08-08,19,1,4,Cloudy,Icy
2013-08-09,18,6,2,Fog,Dry
2013-08-10,22,1,12,Snow,Wet
2013-08-11,49,3,6,Clear,Wet
2013-08-12,36,2,25,Cloudy,Icy
2013-08-13,9,0,4,Snow,Icy
2013-08-14,1,0,1,Rain,Muddy
2013-08-15,9,1,2,Rain,Snow-covered
2013-08-16,5,1,4,Fog,Icy
2013-08-17,29,3,13,Fog,Snow-covered
2013-08-18,41,6,24,Rain,Snow-covered
2013-08-19,19,6,19,Fog,Snow-covered
2013-08-20,19,0,3,Fog,Snow-covered
2013-08-21,23,3,7,Clear,Wet
2013-08-22,37,8,12,Cloudy,Dry
2013-08-23,2,0,0,Rain,Muddy
2013-08-24,16,8,5,Snow,Dry
2013-08-25,25,1,12,Snow,Icy
2013-08-26,17,8,11,Cloudy,Muddy
2013-08-27,7,3,2,Clear,Dry
2013-08-28,4,0,3,Fog,Dry
2013-08-29,36,18,7,Fog,Muddy
2013-08-30,27,12,8,Clear,Icy
2013-08-31,43,18,22,Clear,Icy
2013-09-01,37,17,23,Fog,Icy
2013-09-02,16,5,1,Rain,Icy
2013-09-03,18,5,0,Rain,Dry
2013-09-04,41,1,5,Cloudy,Dry
2013-09-05,5,0,0,Fog,Dry
2013-09-06,42,12,21,Fog,Wet
2013-09-07,33,12,4,Snow,Dry
2013-09-08,4,2,0,Clear,Muddy
2013-09-09,25,11,10,Snow,Muddy
2013-09-10,36,7,17,Snow,Muddy
2013-09-11,34,5,28,Rain,Snow-covered
2013-09-12,3,0,0,Snow,Icy
2013-09-13,45,4,1,Rain,Muddy
2013-09-14,14,0,9,Rain,Wet
2013-09-15,40,8,15,Rain,Icy
2013-09-16,18,2,4,Fog,Icy
2013-09-17,27,6,7,Fog,Wet
2013-09-18,37,3,7,Fog,Snow-covered
2013-09-19,32,3,14,Fog,Wet
2013-09-20,30,8,21,Rain,Dry
2013-09-21,38,3,3,Fog,Muddy
2013-09-22,41,10,20,Rain,Snow-covered
2013-09-23,21,4,9,Rain,Dry
2013-09-24,10,0,10,Snow,Dry
2013-09-25,30,5,9,Clear,Icy
2013-09-26,4,0,0,Rain,Icy
2013-09-27,13,4,8,Rain,Wet
2013-09-28,8,3,2,Rain,Icy
2013-09-29,10,3,2,Snow,Icy
2013-09-30,23,7,20,Snow,Icy
2013-10-01,36,18,6,Clear,Wet
2013-10-02,1,0,0,Fog,Icy
2013-10-03,35,10,6,Clear,Muddy
2013-10-04,23,9,9,Snow,Snow-covered
2013-10-05,32,11,5,Fog,Muddy
2013-10-06,3,0,0,Fog,Dry
2013-10-07,35,16,12,Cloudy,Dry
2013-10-08,27,4,16,Fog,Wet
2013-10-09,42,15,27,Fog,Dry
2013-10-10,43,9,27,Fog,Dry
2013-10-11,48,3,37,Rain,Icy
2013-10-12,33,4,14,Snow,Snow-covered
2013-10-13,43,10,11,Snow,Muddy
2013-10-14,24,9,22,Fog,Muddy
2013-10-15,29,3,1,Fog,Dry
2013-10-16,40,10,13,Fog,Wet
2013-10-17,46,15,1,Clear,Icy
2013-10-18,31,14,17,Clear,Dry
2013-10-19,31,2,8,Rain,Dry
2013-10-20,44,20,7,Snow,Muddy
2013-10-21,40,0,39,Clear,Wet
2013-10-22,45,0,40,Fog,Wet
2013-10-23,34,12,30,Snow,Muddy
2013-10-24,16,0,13,Cloudy,Dry
2013-10-25,26,9,19,Clear,Dry
2013-10-26,49,22,43,Clear,Snow-covered
2013-10-27,40,12,17,Cloudy,Dry
2013-10-28,24,8,12,Snow,Icy
2013-10-29,46,23,7,Clear,Dry
2013-10-30,9,3,3,Snow,Dry
2013-10-31,4,0,3,Fog,Dry
2013-11-01,1,0,0,Cloudy,Dry
2013-11-02,42,6,22,Fog,Dry
2013-11-03,48,17,32,Cloudy,Icy
2013-11-04,24,10,8,Fog,Muddy
2013-11-05,28,10,11,Fog,Dry
2013-11-06,11,2,10,Fog,Snow-covered
2013-11-07,31,12,25,Clear,Wet
2013-11-08,26,9,19,Snow,Muddy
2013-11-09,9,1,5,Cloudy,Icy
2013-11-10,13,6,5,Clear,Wet
2013-11-11,41,15,4,Fog,Snow-covered
2013-11-12,39,9,26,Snow,Snow-covered
2013-11-13,6,0,2,Fog,Icy
2013-11-14,9,4,7,Rain,Dry
2013-11-15,6,1,4,Fog,Wet
2013-11-16,8,1,6,Fog,Wet
2013-11-17,25,7,2,Cloudy,Icy
2013-11-18,30,8,24,Cloudy,Icy
2013-11-19,42,14,15,Cloudy,Dry
2013-11-20,41,13,4,Fog,Dry
2013-11-21,5,1,4,Clear,Dry
2013-11-22,31,2,16,Fog,Snow-covered
2013-11-23,11,4,5,Fog,Wet
2013-11-24,21,3,9,Clear,Muddy
2013-11-25,37,1,33,Rain,Muddy
2013-11-26,36,10,31,Snow,Dry
2013-11-27,6,2,5,Snow,Dry
2013-11-28,25,3,16,Clear,Dry
2013-11-29,30,1,17,Rain,Muddy
2013-11-30,17,2,1,Clear,Snow-covered
2013-12-01,43,8,13,Rain,Wet
2013-12-02,2,1,1,Fog,Icy
2013-12-03,24,2,14,Clear,Snow-covered
2013-12-04,6,1,5,Rain,Snow-covered
2013-12-05,48,24,15,Rain,Snow-covered
2013-12-06,12,2,10,Cloudy,Dry
2013-12-07,48,22,10,Snow,Dry
2013-12-08,2,0,0,Rain,Dry
2013-12-09,44,14,25,Fog,Dry
2013-12-10,40,5,33,Fog,Snow-covered
2013-12-11,16,6,12,Clear,Dry
2013-12-12,26,4,3,Snow,Wet
2013-12-13,17,0,17,Clear,Icy
2013-12-14,29,11,14,Rain,Muddy
2013-12-15,50,20,2,Rain,Wet
2013-12-16,37,11,2,Rain,Snow-covered
2013-12-17,2,0,1,Fog,Muddy
2013-12-18,13,3,8,Rain,Wet
2013-12-19,32,15,24,Clear,Icy
2013-12-20,30,8,1,Cloudy,Muddy
2013-12-21,15,0,15,Fog,Snow-covered
2013-12-22,21,6,6,Cloudy,Muddy
2013-12-23,44,18,23,Cloudy,Icy
2013-12-24,46,11,32,Fog,Icy
2013-12-25,50,20,21,Fog,Muddy
2013-12-26,19,6,13,Cloudy,Dry
2013-12-27,11,1,0,Snow,Icy
2013-12-28,33,10,29,Rain,Wet
2013-12-29,49,19,2,Snow,Wet
2013-12-30,45,18,5,Cloudy,Snow-covered
2013-12-31,18,7,4,Clear,Icy
2014-01-01,10,1,7,Rain,Icy
2014-01-02,34,4,20,Fog,Wet
2014-01-03,31,2,27,Clear,Muddy
2014-01-04,12,4,4,Clear,Wet
2014-01-05,17,5,16,Cloudy,Snow-covered
2014-01-06,40,3,15,Clear,Muddy
2014-01-07,18,9,13,Snow,Wet
2014-01-08,20,2,20,Fog,Snow-covered
2014-01-09,21,4,5,Clear,Muddy
2014-01-10,1,0,1,Fog,Muddy
2014-01-11,8,3,0,Snow,Muddy
2014-01-12,46,0,44,Rain,Wet
2014-01-13,45,0,33,Fog,Muddy
2014-01-14,36,10,13,Snow,Snow-covered
2014-01-15,27,13,8,Rain,Muddy
2014-01-16,27,9,8,Rain,Snow-covered
2014-01-17,17,4,17,Fog,Snow-covered
2014-01-18,18,4,4,Cloudy,Wet
2014-01-19,50,5,39,Clear,Snow-covered
2014-01-20,32,14,29,Cloudy,Snow-covered
2014-01-21,13,3,4,Rain,Icy
2014-01-22,36,11,24,Snow,Dry
2014-01-23,42,9,18,Clear,Icy
2014-01-24,43,9,23,Rain,Snow-covered
2014-01-25,44,18,20,Rain,Snow-covered
2014-01-26,22,8,16,Clear,Snow-covered
2014-01-27,7,2,2,Rain,Dry
2014-01-28,48,20,6,Cloudy,Muddy
2014-01-29,20,6,7,Snow,Wet
2014-01-30,40,11,26,Fog,Muddy
2014-01-31,30,2,18,Fog,Dry
2014-02-01,18,5,9,Clear,Wet
2014-02-02,15,0,11,Rain,Wet
2014-02-03,23,9,6,Snow,Icy
2014-02-04,4,0,2,Fog,Snow-covered
2014-02-05,40,13,16,Rain,Snow-covered
2014-02-06,46,14,39,Snow,Snow-covered
2014-02-07,22,2,19,Snow,Icy
2014-02-08,4,2,3,Clear,Snow-covered
2014-02-09,21,5,0,Clear,Wet
2014-02-10,47,5,35,Cloudy,Icy
2014-02-11,44,18,35,Clear,Snow-covered
2014-02-12,25,7,15,Fog,Dry
2014-02-13,36,18,33,Fog,Icy
2014-02-14,19,8,17,Snow,Snow-covered
2014-02-15,45,12,39,Snow,Snow-covered
2014-02-16,43,15,23,Snow,Icy
2014-02-17,6,2,4,Cloudy,Snow-covered
2014-02-18,27,4,10,Snow,Muddy
2014-02-19,13,3,2,Cloudy,Icy
2014-02-20,23,9,10,Cloudy,Wet
2014-02-21,50,4,46,Cloudy,Dry
2014-02-22,50,16,33,Cloudy,Dry
2014-02-23,12,1,3,Snow,Muddy
2014-02-24,22,6,5,Fog,Snow-covered
2014-02-25,14,2,4,Fog,Icy
2014-02-26,26,7,26,Snow,Snow-covered
2014-02-27,22,10,10,Cloudy,Snow-covered
2014-02-28,5,2,4,Rain,Dry
2014-03-01,39,12,8,Fog,Snow-covered
2014-03-02,11,5,1,Clear,Wet
2014-03-03,45,8,10,Fog,Icy
2014-03-04,43,2,2,Cloudy,Icy
2014-03-05,46,18,37,Rain,Muddy
2014-03-06,20,10,17,Fog,Muddy
2014-03-07,33,4,31,Snow,Wet
2014-03-08,3,0,2,Clear,Snow-covered
2014-03-09,6,1,4,Snow,Snow-covered
2014-03-10,26,3,13,Fog,Muddy
2014-03-11,18,3,9,Cloudy,Wet
2014-03-12,12,0,4,Clear,Dry
2014-03-13,41,6,3,Snow,Snow-covered
2014-03-14,40,14,0,Snow,Snow-covered
2014-03-15,43,11,33,Rain,Muddy
2014-03-16,44,10,24,Clear,Wet
2014-03-17,47,10,7,Clear,Icy
2014-03-18,48,7,5,Clear,Snow-covered
2014-03-19,27,12,0,Rain,Icy
2014-03-20,47,15,38,Rain,Dry
2014-03-21,14,5,14,Rain,Snow-covered
2014-03-22,50,0,16,Clear,Dry
2014-03-23,20,8,18,Snow,Dry
2014-03-24,28,2,24,Cloudy,Icy
2014-03-25,40,19,35,Fog,Dry
2014-03-26,31,14,15,Rain,Muddy
2014-03-27,39,4,29,Clear,Muddy
2014-03-28,7,1,1,Cloudy,Wet
2014-03-29,13,1,11,Cloudy,Wet
2014-03-30,2,0,1,Fog,Icy
2014-03-31,39,2,19,Snow,Muddy
2014-04-01,20,8,15,Clear,Snow-covered
2014-04-02,17,0,1,Fog,Snow-covered
2014-04-03,10,5,1,Rain,Muddy
2014-04-04,29,11,0,Snow,Wet
2014-04-05,48,8,3,Cloudy,Snow-covered
2014-04-06,33,5,33,Cloudy,Dry
2014-04-07,30,10,2,Fog,Dry
2014-04-08,45,3,12,Snow,Wet
2014-04-09,38,9,29,Snow,Snow-covered
2014-04-10,22,9,6,Cloudy,Dry
2014-04-11,27,7,6,Cloudy,Muddy
2014-04-12,20,2,18,Rain,Snow-covered
2014-04-13,20,1,17,Fog,Dry
2014-04-14,3,1,2,Rain,Icy
2014-04-15,34,14,15,Snow,Icy
2014-04-16,10,1,9,Snow,Dry
2014-04-17,31,9,0,Clear,Muddy
2014-04-18,24,3,8,Fog,Muddy
2014-04-19,50,7,6,Clear,Dry
2014-04-20,48,2,20,Snow,Wet
2014-04-21,43,12,22,Cloudy,Snow-covered
2014-04-22,10,1,6,Clear,Snow-covered
2014-04-23,20,10,5,Fog,Dry
2014-04-24,3,0,2,Rain,Snow-covered
2014-04-25,40,0,11,Snow,Wet
2014-04-26,15,3,15,Clear,Icy
2014-04-27,10,4,0,Rain,Snow-covered
2014-04-28,31,14,28,Clear,Icy
2014-04-29,11,3,10,Cloudy,Wet
2014-04-30,15,3,13,Rain,Snow-covered
2014-05-01,38,7,6,Clear,Icy
2014-05-02,10,3,9,Rain,Dry
2014-05-03,45,13,20,Rain,Muddy
2014-05-04,16,7,11,Snow,Icy
2014-05-05,9,4,1,Snow,Muddy
2014-05-06,14,0,0,Rain,Snow-covered
2014-05-07,20,1,0,Clear,Wet
2014-05-08,40,0,36,Cloudy,Wet
2014-05-09,43,8,43,Cloudy,Icy
2014-05-10,2,0,1,Snow,Muddy
2014-05-11,44,5,30,Rain,Icy
2014-05-12,45,0,13,Rain,Dry
2014-05-13,19,9,9,Cloudy,Wet
2014-05-14,41,16,14,Clear,Wet
2014-05-15,28,8,0,Snow,Muddy
2014-05-16,37,13,28,Fog,Snow-covered
2014-05-17,17,0,16,Fog,Icy
2014-05-18,44,4,1,Snow,Muddy
2014-05-19,27,3,19,Rain,Snow-covered
2014-05-20,38,9,37,Rain,Icy
2014-05-21,31,6,16,Rain,Wet
2014-05-22,14,1,9,Snow,Muddy
2014-05-23,21,6,12,Rain,Wet
2014-05-24,7,2,7,Rain,Wet
2014-05-25,44,11,34,Snow,Wet
2014-05-26,28,0,22,Cloudy,Dry
2014-05-27,32,16,26,Snow,Dry
2014-05-28,21,10,2,Fog,Wet
2014-05-29,21,7,12,Fog,Muddy
2014-05-30,38,3,33,Clear,Muddy
2014-05-31,49,1,12,Cloudy,Snow-covered
2014-06-01,4,1,0,Clear,Wet
2014-06-02,39,9,18,Snow,Muddy
2014-06-03,32,5,25,Rain,Dry
2014-06-04,49,19,45,Cloudy,Icy
2014-06-05,43,7,14,Rain,Wet
2014-06-06,42,17,27,Rain,Dry
2014-06-07,15,4,12,Rain,Muddy
2014-06-08,42,21,12,Clear,Wet
2014-06-09,30,14,17,Clear,Wet
2014-06-10,8,2,5,Cloudy,Dry
2014-06-11,42,18,32,Cloudy,Muddy
2014-06-12,4,2,1,Clear,Snow-covered
2014-06-13,42,17,40,Rain,Muddy
2014-06-14,8,2,2,Fog,Snow-covered
2014-06-15,32,4,10,Clear,Icy
2014-06-16,24,5,20,Fog,Dry
2014-06-17,3,0,3,Snow,Icy
2014-06-18,8,2,7,Clear,Dry
2014-06-19,23,4,4,Fog,Snow-covered
2014-06-20,25,12,9,Cloudy,Dry
2014-06-21,49,6,16,Rain,Icy
2014-06-22,12,3,10,Cloudy,Snow-covered
2014-06-23,47,1,46,Fog,Icy
2014-06-24,12,2,1,Rain,Dry
2014-06-25,17,6,1,Fog,Icy
2014-06-26,48,21,20,Rain,Muddy
2014-06-27,32,4,13,Clear,Muddy
2014-06-28,28,7,26,Rain,Dry
2014-06-29,17,4,10,Fog,Wet
2014-06-30,2,0,0,Cloudy,Snow-covered
2014-07-01,45,12,26,Rain,Icy
2014-07-02,17,3,0,Clear,Muddy
2014-07-03,35,4,23,Fog,Wet
2014-07-04,8,0,5,Fog,Wet
2014-07-05,32,8,21,Clear,Icy
2014-07-06,21,8,17,Cloudy,Icy
2014-07-07,29,2,2,Cloudy,Icy
2014-07-08,20,5,17,Cloudy,Dry
2014-07-09,12,5,11,Rain,Snow-covered
2014-07-10,9,3,6,Snow,Wet
2014-07-11,24,2,4,Cloudy,Snow-covered
2014-07-12,35,7,25,Cloudy,Snow-covered
2014-07-13,22,7,2,Snow,Dry
2014-07-14,33,2,23,Clear,Muddy
2014-07-15,29,10,5,Fog,Dry
2014-07-16,10,3,5,Cloudy,Dry
2014-07-17,16,0,11,Snow,Snow-covered
2014-07-18,16,6,7,Cloudy,Muddy
2014-07-19,37,17,32,Snow,Wet
2014-07-20,48,6,12,Clear,Wet
2014-07-21,31,11,30,Fog,Wet
2014-07-22,12,4,6,Fog,Wet
2014-07-23,42,10,19,Cloudy,Wet
2014-07-24,27,0,26,Snow,Icy
2014-07-25,40,16,13,Snow,Muddy
2014-07-26,24,10,22,Snow,Snow-covered
2014-07-27,39,1,0,Clear,Snow-covered
2014-07-28,14,2,6,Rain,Muddy
2014-07-29,34,13,13,Clear,Muddy
2014-07-30,47,4,41,Cloudy,Wet
2014-07-31,16,4,15,Rain,Dry
2014-08-01,15,7,0,Snow,Snow-covered
2014-08-02,46,6,25,Cloudy,Icy
2014-08-03,14,1,13,Snow,Snow-covered
2014-08-04,27,12,8,Fog,Snow-covered
2014-08-05,42,2,29,Cloudy,Icy
2014-08-06,35,3,34,Cloudy,Dry
2014-08-07,46,3,10,Rain,Snow-covered
2014-08-08,47,3,27,Snow,Icy
2014-08-09,17,8,7,Fog,Snow-covered
2014-08-10,13,1,1,Rain,Dry
2014-08-11,42,11,27,Fog,Muddy
2014-08-12,16,3,8,Fog,Dry
2014-08-13,34,8,33,Rain,Snow-covered
2014-08-14,6,2,3,Clear,Wet
2014-08-15,25,4,9,Rain,Wet
2014-08-16,45,14,43,Clear,Snow-covered
2014-08-17,30,1,19,Snow,Dry
2014-08-18,22,10,1,Cloudy,Dry
2014-08-19,24,11,3,Snow,Wet
2014-08-20,28,3,5,Clear,Dry
2014-08-21,19,1,16,Cloudy,Icy
2014-08-22,11,0,7,Rain,Icy
2014-08-23,26,0,20,Fog,Icy
2014-08-24,19,6,1,Fog,Muddy
2014-08-25,47,21,26,Snow,Dry
2014-08-26,21,6,7,Clear,Snow-covered
2014-08-27,49,16,21,Clear,Snow-covered
2014-08-28,50,3,8,Snow,Muddy
2014-08-29,14,2,4,Snow,Dry
2014-08-30,42,21,24,Rain,Wet
2014-08-31,39,4,8,Cloudy,Snow-covered
2014-09-01,7,0,4,Clear,Muddy
2014-09-02,21,10,21,Clear,Muddy
2014-09-03,10,2,2,Cloudy,Icy
2014-09-04,33,2,29,Snow,Snow-covered
2014-09-05,7,2,2,Cloudy,Dry
2014-09-06,27,12,26,Clear,Wet
2014-09-07,19,1,9,Rain,Icy
2014-09-08,49,10,32,Rain,Muddy
2014-09-09,34,10,6,Snow,Muddy
2014-09-10,10,0,9,Cloudy,Snow-covered
2014-09-11,32,8,6,Fog,Muddy
2014-09-12,39,12,34,Fog,Dry
2014-09-13,40,1,7,Cloudy,Icy
2014-09-14,29,6,17,Cloudy,Icy
2014-09-15,33,13,17,Clear,Dry
2014-09-16,49,20,21,Rain,Wet
2014-09-17,17,7,5,Clear,Dry
2014-09-18,43,3,8,Snow,Wet
2014-09-19,3,1,2,Fog,Dry
2014-09-20,49,1,37,Rain,Muddy
2014-09-21,28,2,16,Fog,Muddy
2014-09-22,46,10,3,Rain,Muddy
2014-09-23,1,0,0,Rain,Icy
2014-09-24,28,13,4,Snow,Wet
2014-09-25,24,10,16,Clear,Icy
2014-09-26,14,3,0,Snow,Icy
